Open,High,Low,Close,Volume,Ticker,Date,atr,gauss,gaussian_upper,gaussian_lower,kijun,vapi,vapi_trend,adx,smma,swing_high,swing_low
305.0,305.8999938964844,304.04998779296875,305.45001220703125,142,KC=F,2025-07-25 04:00:00,,305.45001220703125,,,,305.45001220703125,neutral,,,305.8999938964844,304.04998779296875
305.45001220703125,307.3500061035156,304.95001220703125,306.5,416,KC=F,2025-07-25 04:30:00,,305.4504389662826,,,,305.794487697469,up,,,307.3500061035156,304.04998779296875
306.5,307.45001220703125,305.1499938964844,305.6000061035156,230,KC=F,2025-07-25 05:00:00,,305.45125861323146,,,,305.76051987730574,down,,,307.45001220703125,304.04998779296875
305.8500061035156,306.45001220703125,305.6000061035156,306.20001220703125,92,KC=F,2025-07-25 05:30:00,,305.45268164623747,,,,305.79364197544675,up,,,307.45001220703125,304.04998779296875
306.1499938964844,306.5,305.0,305.70001220703125,197,KC=F,2025-07-25 06:00:00,,305.4546619244533,,,,305.7788069305744,down,,,307.45001220703125,304.04998779296875
306.0,307.1000061035156,305.79998779296875,306.8999938964844,139,KC=F,2025-07-25 06:30:00,,305.45764101822004,,,,305.9081685599569,up,,,307.45001220703125,304.04998779296875
306.8500061035156,307.29998779296875,304.3999938964844,305.1499938964844,273,KC=F,2025-07-25 07:00:00,,305.46124134630725,,,,305.74963723578134,down,,,307.45001220703125,304.04998779296875
305.1499938964844,307.1000061035156,304.54998779296875,306.79998779296875,229,KC=F,2025-07-25 07:30:00,,305.4658226151443,,,,305.92805853443565,up,,,307.45001220703125,304.04998779296875
307.04998779296875,307.1499938964844,301.79998779296875,301.8500061035156,886,KC=F,2025-07-25 08:00:00,,305.46964127850055,,,,304.1582203234795,down,,,307.45001220703125,301.79998779296875
301.79998779296875,302.1000061035156,299.6000061035156,301.25,955,KC=F,2025-07-25 08:30:00,,305.47107976662033,,,,303.13142464814734,down,,,307.45001220703125,299.6000061035156
301.29998779296875,301.3999938964844,298.6499938964844,299.95001220703125,714,KC=F,2025-07-25 09:00:00,,305.4683622910716,,,,302.38235376564455,down,,,307.45001220703125,298.6499938964844
300.1000061035156,301.1000061035156,298.79998779296875,299.45001220703125,775,KC=F,2025-07-25 09:30:00,,305.4599420897939,,,,301.7088521047514,down,,,307.45001220703125,298.6499938964844
299.54998779296875,300.0,298.70001220703125,300.0,745,KC=F,2025-07-25 10:00:00,,305.4449074900891,,,,301.3588331209931,down,,,307.45001220703125,298.6499938964844
300.1499938964844,300.45001220703125,297.6499938964844,298.3999938964844,1089,KC=F,2025-07-25 10:30:00,2.339290073939732,305.4219940798644,312.4398643016836,298.40412385804524,,300.5928546367675,down,13.984697100711974,,307.45001220703125,297.6499938964844
298.54998779296875,299.25,297.70001220703125,298.1499938964844,545,KC=F,2025-07-25 11:00:00,2.282911339584662,305.39022911827607,312.23896313703005,298.5414950995221,,300.2720969416294,down,13.984697100711974,,307.45001220703125,297.6499938964844
298.45001220703125,299.6000061035156,297.75,297.8999938964844,481,KC=F,2025-07-25 11:30:00,2.2519895370083027,305.348890221634,312.1048588326589,298.5929216106091,,299.98958600936925,down,14.143518876938858,,307.45001220703125,297.6499938964844
297.8999938964844,298.3500061035156,297.25,297.6000061035156,1190,KC=F,2025-07-25 12:00:00,2.16970500604454,305.2974486258102,311.80656364394383,298.7883336076766,,299.37829008703187,down,13.973518386534645,,307.45001220703125,297.25
297.70001220703125,298.1499938964844,297.3999938964844,297.75,377,KC=F,2025-07-25 12:30:00,2.068297505612787,305.23572453990835,311.4406170567467,299.03083202307,,299.2376314304571,down,13.815660788302159,,307.45001220703125,297.25
297.8500061035156,298.5,297.70001220703125,297.8500061035156,476,KC=F,2025-07-25 13:00:00,1.9777039547096416,305.16380187469923,311.09691373882816,299.2306900105703,,299.08099230068524,down,13.858888946390463,,307.45001220703125,297.25
300.0,302.45001220703125,299.6000061035156,302.3999938964844,375,KC=F,2025-07-28 04:00:00,2.1650112510529262,305.08378536786967,311.57881912102846,298.5887516147109,,299.3929781203316,up,15.536936207882945,,307.45001220703125,297.25
302.0,303.70001220703125,301.6000061035156,302.8999938964844,755,KC=F,2025-07-28 04:30:00,2.1603680262288334,304.9977082237903,311.4788123024768,298.5166041451038,,300.0272635430423,up,17.46955880180182,,307.45001220703125,297.25
302.70001220703125,303.20001220703125,301.54998779296875,303.0,230,KC=F,2025-07-28 05:00:00,2.1239149110740954,304.90735493469026,311.27909966791253,298.535610201468,,300.20680934895245,up,19.227543097918407,,307.45001220703125,297.25
302.6000061035156,303.20001220703125,302.0,302.0,142,KC=F,2025-07-28 05:30:00,2.0579218607853207,304.81383928251637,310.9876048648723,298.6400737001604,,300.2815675131152,up,20.859957087169523,,307.45001220703125,297.25
301.70001220703125,303.20001220703125,301.5,303.1499938964844,1950,KC=F,2025-07-28 06:00:00,2.0323568855171725,304.7186003226532,310.8156709792047,298.62152966610165,,301.43023254966533,up,21.969951456977054,,307.45001220703125,297.25
303.3500061035156,303.3999938964844,302.3999938964844,303.0,119,KC=F,2025-07-28 06:30:00,1.9586171079802317,304.622785135305,310.4986364592457,298.7469338113643,,301.47374718138616,up,23.077580872059272,,307.45001220703125,297.25
303.3500061035156,305.5,302.3500061035156,304.8500061035156,445,KC=F,2025-07-28 07:00:00,2.0437154500162418,304.5281041902468,310.6592505402955,298.39695784019807,,301.83800954643715,up,24.823809808448555,,307.45001220703125,297.25
304.8999938964844,306.0,304.1000061035156,305.1000061035156,311,KC=F,2025-07-28 07:30:00,2.0334496247639655,304.4360376577358,310.53638653202773,298.3356887834439,,302.1017598820102,up,26.59364948117622,,307.45001220703125,297.25
305.04998779296875,305.20001220703125,302.04998779296875,302.20001220703125,718,KC=F,2025-07-28 08:00:00,2.113204966856718,304.3465783743463,310.68619327491643,298.0069634737761,,302.11933077937096,up,26.647528341568965,,307.45001220703125,297.25
302.3500061035156,303.8500061035156,300.54998779296875,300.95001220703125,579,KC=F,2025-07-28 08:30:00,2.197977348548872,304.25920816261595,310.8531402082626,297.6652761169693,,301.95092789988496,down,25.743204021162537,,307.45001220703125,297.25
300.8500061035156,302.6499938964844,299.45001220703125,301.29998779296875,1022,KC=F,2025-07-28 09:00:00,2.26954908718489,304.1736607424789,310.98230800403354,297.36501348092423,,301.80203331984626,down,24.280487263416344,,307.45001220703125,297.25
301.3500061035156,303.6000061035156,301.1000061035156,303.3999938964844,799,KC=F,2025-07-28 09:30:00,2.2860098666716833,304.0905845101323,310.9486141101474,297.23255491011724,,302.07787035158464,up,23.371830073296064,,307.45001220703125,297.25
303.3999938964844,303.75,300.5,302.79998779296875,959,KC=F,2025-07-28 10:00:00,2.354866304766563,304.01024541211746,311.0748443264171,296.9456464978178,,302.2184397343578,up,22.183553337377244,,307.45001220703125,297.25
